id	data	x	y	z	theta	size	parent	uniqueCode
1	Images/102362/sec0/sec0_01.jpg,Wooden_thin2	4	7.699999999999999	-46.8	0,11.09834,0	1.4	1	7
2	Images/102362/sec1/sec1_01.jpg,Wooden_thin2	4	7.699999999999999	-31.199999999999996	0,11.09834,0	1.4	1	8
3	Images/102362/sec1/sec1_02.jpg,Wooden_thin2	4	7.699999999999999	-15.599999999999998	0,11.09834,0	1.4	1	9
4	Images/102362/sec1/sec1_03.jpg,Wooden_thin2	4	7.699999999999999	0.0	0,11.09834,0	1.4	1	10
5	Images/102362/sec2/sec2_01.jpg,Wooden_thin2	4	7.699999999999999	15.600000000000001	0,11.09834,0	1.4	1	11
6	Images/102362/sec2/sec2_02.jpg,Wooden_thin2	4	7.699999999999999	31.200000000000003	0,11.09834,0	1.4	1	12
7	Images/102362/sec2/sec2_03.jpg,Wooden_thin2	4	7.699999999999999	46.8	0,11.09834,0	1.4	1	13
8	Images/102362/sec2/sec2_04.jpg,Wooden_thin2	4	7.699999999999999	-46.8	0,11.09834,0	1.4	2	14
9	Images/102362/sec2/sec2_05.jpg,Wooden_thin2	4	7.699999999999999	-31.199999999999996	0,11.09834,0	1.4	2	15
10	Images/102362/sec2/sec2_06.jpg,Wooden_thin2	4	7.699999999999999	-15.599999999999998	0,11.09834,0	1.4	2	16
11	Images/102362/sec2/sec2_07.jpg,Wooden_thin2	4	7.699999999999999	0.0	0,11.09834,0	1.4	2	17
12	Images/102362/sec2/sec2_08.jpg,Wooden_thin2	4	7.699999999999999	15.600000000000001	0,11.09834,0	1.4	2	18
13	Images/102362/sec2/sec2_09.jpg,Wooden_thin2	4	7.699999999999999	31.200000000000003	0,11.09834,0	1.4	2	19
14	Images/102362/sec2/sec2_10.jpg,Wooden_thin2	4	7.699999999999999	46.8	0,11.09834,0	1.4	2	20
15	Images/102362/sec2/sec2_11.jpg,Wooden_thin2	4	7.699999999999999	-46.8	0,11.09834,0	1.4	3	21
16	Images/102362/sec2/sec2_12.jpg,Wooden_thin2	4	7.699999999999999	-31.199999999999996	0,11.09834,0	1.4	3	22
17	Images/102362/sec2/sec2_13.jpg,Wooden_thin2	4	7.699999999999999	-15.599999999999998	0,11.09834,0	1.4	3	23
18	Images/102362/sec2/sec2_14.jpg,Wooden_thin2	4	7.699999999999999	0.0	0,11.09834,0	1.4	3	24
19	Images/102362/sec2/sec2_15.jpg,Wooden_thin2	4	7.699999999999999	15.600000000000001	0,11.09834,0	1.4	3	25
20	Images/102362/sec3/sec3_01.jpg,Wooden_thin2	4	7.699999999999999	31.200000000000003	0,11.09834,0	1.4	3	26
