ID	data	wallCenter	wallRight	wallUp	wallFront	x	y	z	size	frameTitle	parent	uniqueCode
1	./Images/1478527/title_panel.png	-77.73684210526315,28.656,30	0,0,1	0,1,0	-1,0,0	0	-2.443498	0.2	1.4	none(caption)	4:3	22
1	./Images/1478527/word_cloud.png	-100.16842105263157,38,91.28842105263156	0,0,1	0,1,0	-1,0,0	63.90189473684209	5	0.2	2.5	Wooden_thin2	-1:-1	23
1	./Images/1478527/Brussel tram 3037.jpg	-100.16842105263157,38,90.37553684210525	0,0,1	0,1,0	-1,0,0	0	5	0.2	5.6	Wooden_thin2	-1:-1	23
1	./Images/1478527/caption/caption0.png	-100.16842105263157,38,90.37553684210525	0,0,1	0,1,0	-1,0,0	35	-2	1	0.8	Wooden_thin2	-1:-1	23
3	./Images/1478527/Brussels Metro Rogier 01.jpg	0,38,182.11578947368417	1,0,0	0,1,0	0,0,1	-37.584210526315786	-10	0.2	2.65991902834008	Wooden_thin	-1:-1	3
4	./Images/1478527/caption/caption1.png	0,38,182.11578947368417	1,0,0	0,1,0	0,0,1	-21.717813765182186	-20	1.5	0.7	none(caption)	-1:-1	4
5	./Images/1478527/Brusselsebus2.JPG	100.16842105263157,38,92.21052631578945	0,0,-1	0,1,0	1,0,0	49.70654526315789	-10	0.2	4.5	Wooden_thin	-1:-1	5
6	./Images/1478527/caption/caption2.png	100.16842105263157,38,92.21052631578945	0,0,-1	0,1,0	1,0,0	71.70654526315789	-20	1.5	0.7	none(caption)	-1:-1	6
7	./Images/1478527/Busstib9005.jpg	100.16842105263157,38,92.21052631578945	0,0,-1	0,1,0	1,0,0	-49.70654526315789	-10	0.2	4.5	Wooden_thin	-1:-1	7
8	./Images/1478527/caption/caption3.png	100.16842105263157,38,92.21052631578945	0,0,-1	0,1,0	1,0,0	-27.706545263157892	-20	1.5	0.7	none(caption)	-1:-1	8
